Player name ,HR,RBI,BB,K,AVG,OBP,SLG
A.J. Pierzynski,0.03,0.122,0.038,0.11,0.277,0.312,0.43
Aaron Hill,0.033,0.117,0.073,0.134,0.261,0.322,0.434
Adam Dunn,0.052,0.136,0.139,0.329,0.211,0.325,0.431
Adam Jones,0.042,0.13,0.042,0.188,0.284,0.324,0.477
Adam Lind,0.041,0.134,0.075,0.201,0.258,0.313,0.444
Adrian Beltre,0.05,0.16,0.059,0.117,0.313,0.357,0.546
Adrian Gonzalez,0.036,0.156,0.093,0.161,0.307,0.372,0.496
Albert Pujols,0.051,0.157,0.102,0.109,0.289,0.363,0.523
Alberto Callaspo,0.017,0.098,0.093,0.091,0.266,0.333,0.37
Alcides Escobar,0.007,0.078,0.045,0.134,0.254,0.292,0.34
Alex Avila,0.027,0.123,0.124,0.247,0.248,0.344,0.402
Alex Gordon,0.027,0.109,0.098,0.204,0.269,0.347,0.434
Alex Rios,0.031,0.122,0.053,0.144,0.273,0.314,0.438
Alexei Ramirez,0.018,0.1,0.046,0.12,0.275,0.31,0.394
Alfonso Soriano,0.051,0.164,0.066,0.236,0.255,0.309,0.488
Andre Ethier,0.029,0.124,0.099,0.184,0.285,0.361,0.449
Andres Torres,0.015,0.081,0.099,0.219,0.242,0.321,0.372
Andrew McCutchen,0.034,0.121,0.115,0.167,0.297,0.383,0.492
Angel Pagan,0.015,0.099,0.075,0.134,0.281,0.334,0.413
Aramis Ramirez,0.043,0.156,0.077,0.144,0.283,0.346,0.491
Asdrubal Cabrera,0.026,0.111,0.068,0.171,0.265,0.324,0.408
Austin Jackson,0.016,0.078,0.087,0.238,0.279,0.344,0.418
Ben Zobrist,0.023,0.115,0.126,0.159,0.263,0.358,0.424
Billy Butler,0.029,0.134,0.1,0.143,0.303,0.374,0.463
Brandon Phillips,0.027,0.121,0.059,0.13,0.279,0.329,0.428
Brendan Ryan,0.007,0.071,0.074,0.179,0.216,0.281,0.293
Brian McCann,0.043,0.137,0.107,0.166,0.256,0.341,0.445
Carlos Beltran,0.041,0.141,0.101,0.163,0.28,0.353,0.485
Carlos Gomez,0.035,0.106,0.055,0.235,0.254,0.304,0.432
Carlos Gonzalez,0.049,0.166,0.086,0.219,0.309,0.369,0.556
