Name,HR,RBI,BB,K,AVG,OBP,SLG
Aaron Hicks,0.024090371,0.098633071,0.11775,0.198,0.2385,0.32925,0.37075
Adam Jones,0.04327331,0.130092743,0.0425,0.18,0.275,0.31275,0.46125
Adam Lind,0.036714054,0.152195269,0.089,0.17225,0.285,0.34725,0.47075
Adeiny Hechavarria,0.010058792,0.077775642,0.047,0.158,0.2635,0.29875,0.36175
Adrian Beltre,0.038431396,0.151128421,0.0835,0.11575,0.30575,0.36575,0.4995
Adrian Gonzalez,0.031198938,0.144238546,0.08275,0.173,0.2695,0.33025,0.438
Albert Pujols,0.046164493,0.159170681,0.0695,0.118,0.25625,0.31,0.44725
Alcides Escobar,0.007293328,0.079534464,0.035,0.1375,0.26325,0.2935,0.351
Alex Avila,0.028265432,0.086289024,0.16575,0.33075,0.2215,0.353,0.3665
Alex Gordon,0.027646843,0.097765073,0.10075,0.23475,0.24125,0.33325,0.38975
Andrelton Simmons,0.012233436,0.088269044,0.0635,0.09225,0.267,0.3155,0.364
Andrew McCutchen,0.037697342,0.130163514,0.12175,0.19025,0.28525,0.3775,0.4865
Anthony Rendon,0.029266357,0.122152516,0.10625,0.1665,0.2805,0.3615,0.45475
Anthony Rizzo,0.047454391,0.147422067,0.11775,0.157,0.28225,0.3875,0.5225
Asdrubal Cabrera,0.029092347,0.10567583,0.07625,0.176,0.2665,0.32725,0.43125
Austin Jackson,0.011296985,0.090365195,0.07875,0.213,0.27375,0.331,0.38925
Ben Revere,0.003732387,0.061160354,0.042,0.08775,0.276,0.30875,0.3455
Ben Zobrist,0.023077321,0.101358448,0.123,0.1265,0.263,0.35425,0.4165
Billy Hamilton,0.007867849,0.059305466,0.0665,0.192,0.24575,0.2965,0.3305
Brad Miller,0.029623381,0.103300511,0.10275,0.238,0.23075,0.312,0.3965
Brandon Belt,0.037325859,0.118867164,0.12075,0.24825,0.25975,0.35275,0.4675
Brandon Crawford,0.024746673,0.135498056,0.085,0.206,0.2575,0.323,0.421
Brandon Moss,0.048608198,0.129751541,0.09625,0.292,0.223,0.30425,0.43925
Brandon Phillips,0.018913124,0.105872687,0.03875,0.1235,0.284,0.31825,0.39975
Brett Gardner,0.02323815,0.087212215,0.102,0.19075,0.26,0.34275,0.40275
Brian Dozier,0.045328245,0.121246211,0.103,0.198,0.25425,0.33775,0.476
